id_conf,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ,rank_AdG_3KPZ,ECR_1DB1_new,ECR_3KPZ_new
C98046205_23,s1cccc1[C@H]1N2C(S\C(=C\c3cc(OC)c(OC(F)F)cc3)\C2=O)=NC(C)=C1/C(/[O-])=N/c1ccccc1C,-88.8773,-6.36552,-14.130064,-14.75201,-30.128899,-29.595188,-124.1903,-138.72115,-2.6183379,-3.3360887,3260,0.005457156,0.005618875
C12781899_15,Clc1cc(ccc1)C1(CCCCC1)C(OCC(=O)N[C@H](C)c1ccc(S(=O)(=O)N)cc1)=O,-107.583,-15.8908,-14.1251,-15.543236,-27.888491,-28.053251,-100.89243,-109.88174,-6.4033651,-6.4153314,1058,0.004783458,0.004083022
C02357429_2,Brc1ccc(Nc2nnc(c3c2cccc3)-c2cc(S(=O)(=O)NC(CO)(C)C)c(cc2)C)cc1,-100.717,-17.9226,-14.113473,-13.516539,-29.733879,-28.321394,-101.65301,-106.25893,-0.2103188,-0.63570595,3981,0.004405966,0.002990861
CHEMBL226380_6,FCC=C1[C@H](O)CC(C[C@H]1O)=C\C=C/1\[C@@H]2CC[C@H]([C@H](CCCC(O)(C)C)C)[C@]2(CCC\1)C,-137.685,-19.8389,-14.078843,-14.763582,-39.056965,-37.047886,-91.496155,-106.30179,-7.6884656,-10.642583,3,0.009455221,0.008997329
C01186905_22,S1\C(=C/c2ccc(cc2)CC)\C(=O)N(CCCC(=O)Nc2ccccc2C(=O)[O-])C1=S,-107.237,-14.5323,-14.060029,-13.93628,-29.156401,-28.868412,-102.40995,-113.2308,-3.700506,-6.1644769,1242,0.004868386,0.00427099
CHEMBL222195_26,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC[C@H]([C@H]([C@@H](CCC(O)(C)C)CC)C)[C@]3(CCC\2)C)\C1=C,-123.498,-19.4847,-14.052317,-13.355484,-36.327015,-36.656437,-89.470779,-95.967964,-4.1914687,-6.5600195,949,0.007316121,0.005212179
CHEMBL494338_32,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC=C([C@]3(CCC\2)C)C2(CC2)CCCC(O)(C)C)\C1=C,-95.9265,-17.6036,-14.037793,-12.215226,-36.009899,-34.087231,-101.1456,-97.010818,-9.2804995,-6.3839955,1078,0.008743452,0.003207666
C57313384_9,Clc1c2c(sc1C(=O)NC(C)(C)C)c(NC(=S)NC(=O)c1cc(OC)c(OC)cc1)ccc2,-76.03,-13.9587,-14.000331,-13.567565,-26.073389,-26.439718,-87.710945,-120.07256,1.6830339,-1.0139593,3904,0.002490766,0.004456466
C20572491_9,Brc1cc2c(nc(cc2C(=O)N\N=C(\C)/c2ccc(cc2)C(C)(C)C)-c2ccc(O)cc2)cc1,-65.2576,-4.20845,-13.971074,-13.446713,-26.316936,-27.905544,-68.253227,-83.74617,-0.60966891,-2.8798304,3383,0.002375429,0.002169601
CHEMBL226380_12,FCC=C1[C@H](O)CC(C[C@H]1O)=C\C=C/1\[C@@H]2CC[C@H]([C@H](CCCC(O)(C)C)C)[C@]2(CCC\1)C,-117.484,-19.7147,-13.963648,-13.939628,-35.812531,-35.83305,-81.297623,-94.395691,-4.6617508,-7.4617243,348,0.006558874,0.006361164
C97961079_25,Brc1c(\C=N\NC(=O)[C@H]2C[C@@H]2c2ccc(cc2)C(C)(C)C)c(Br)cc(Br)c1O,-89.9687,-16.8073,-13.939637,-13.972041,-30.486843,-28.564215,-103.59075,-102.25174,-6.8599477,-5.4582348,1954,0.005217031,0.002898809
CHEMBL466792_25,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@H](\C=C\C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-125.765,-19.9399,-13.928072,-13.316004,-38.00375,-37.903118,-107.94745,-105.33875,-6.7053657,-6.0735779,1339,0.009902377,0.005972539
C20504402_21,Brc1cc(Br)cc(Br)c1N[C@H](CCc1ccc(O)cc1)C,-81.8481,-17.258,-13.920273,-12.075016,-21.775591,-21.080172,-78.39151,-83.54348,-6.5209117,-7.8032346,201,0.002624735,0.002117331
C33546507_50,O(CC)c1cc(ccc1OCCCCC)[C@H]1N(Cc2cc[nH+]cc2)C(=O)C(O)=C1C(=O)c1ccc(cc1)C,-82.9504,-9.1389,-13.907388,-11.821842,-30.254732,-29.107628,-48.239693,-100.12161,2.9014056,0.84640437,4304,0.002773517,0.000760072
C39700361_1,s1cccc1[C@@H](N1CCN(CC1)c1ccccc1OC)[C@@H](NC(=S)Nc1cccc(C)c1C)C,-105.002,-12.7905,-13.869891,-12.850523,-31.090321,-32.436165,-97.016068,-122.54965,-6.0061674,-7.9231658,173,0.004497492,0.007405246
