id,smiles,ECR_1DB1,ECR_3KPZ
VDRML6596,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(cc1)C(NC(O)=O)C,0.000287585,0.013533528
VDRML22932,FC(F)(F)c1cc(cc(c1)C(CC)=CCCC(O)C(F)(F)F)-c1cc(C)c(OCO)cc1,0.000247875,5.51E-41
VDRML11800,FC(F)(F)C(C(O)COc1cc(ccc1)C(C)(C)c1cc(C)c(OC(CCO)CO)cc1)(C)C,0.000224287,0.000744658
VDRML5897,O(C(C)c1cc(C)c(OCC(C(O)CCO)C)cc1)c1ccc(cc1C)C(O)(CC)C,0.000202943,2.60E-61
VDRML961,O1Cc2c(cc(cc2)COc2cc(C)c(cc2)Cc2ccc(cc2CCC)C(CC)(CC)C)C1O,0.00018363,7.06E-22
VDRML18827,O(C(CCO)CO)c1ccc(cc1C)C(O)c1cc(-c2ccc(cc2)C(O)(CC)C)c(cc1)C,0.000166156,9.19E-08
VDRML2170,Oc1cc2c(cc1)C(CC2)C1C2C(C1)CCC(C)(C)C(CC2)C(CCCC(O)(C)C)C,0.000150344,0.003555347
VDRML1585,FC(F)(F)C(O)(C(O)=CCC(CC)c1cc(ccc1)CCc1cc(CO)c(OO)cc1)C(F)(F)F,0.000136039,3.51E-22
VDRML2174,Oc1cc2c(cc1)C(CC2)C1C2CCC(C)(C)C(C(CCCC(O)(C)C)C)C2(C1)C,0.000123091,2.22E-38
VDRML4623,FC(C(O)COc1cc(ccc1)C(CC)(C=C)c1cc(C)c(OC(CCO)CO)cc1)(C)C,0.000111378,8.47E-15
VDRML8218,FC(O)(C(C)(C)C)COc1ccc(cc1)C(CC)(CC)c1cc(C)c(OC(C(O)C)CO)cc1,0.000100779,2.79E-11
VDRML4271,FC(F)(F)C(OO)(C=CC(N)=C(CC)c1cc(OCc2cc3CC(=O)c3cc2)ccc1)C(F)(F)F,0.000700863,7.56E-10
VDRML9629,O(C(CO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(CO)c(OCCC(C)(C)C)cc1,8.25E-05,4.18E-13
VDRML9214,FC(O)(O)C=CC=C(CC)c1cc(OCCOCc2cc(CO)c(O)cc2)ccc1,7.47E-05,8.62E-09
VDRML9343,OC(CC)(CC)c1cc(C)c(cc1)-c1cc(ccc1)CCc1cc(CO)c(cc1)CO,6.76E-05,8.19E-41
VDRML7709,OC1CC(O)c2c(C1)cc1C3CCC(C(CCCC(O)(C)C)C)C3(CCCc1c2)C,0.002328235,5.02E-06
VDRML1842,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(n(c1)CC)C(=O)Nc1ccc(OC)cc1,5.53E-05,4.31E-25
VDRML18212,O(Cc1cc(C)c(OC(COC)CO)cc1)c1ccc(cc1C)C(C(C(O)C(C)(C)C)C)CC,5.00E-05,1.81E-75
VDRML6387,FC(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(F)C)cc1)(CO)C,4.53E-05,8.99E-38
VDRML7313,ClC[Si](CC)(c1cc(C)c(OCC(=O)CC(C)C)cc1)c1ccc(OCC2OC2)cc1,4.10E-05,2.57E-56
VDRML10009,O(Cc1ccc(cc1C)C(O)(CC)C)c1ccc(cc1C)C(C)c1cc(C)c(OC(CCO)CO)cc1,3.71E-05,1.84E-82
VDRML5651,O(CC=1C(C)C(O)C=1O)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,3.35E-05,2.15E-27
VDRML22976,FC(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OC(CO)C)cc1)(C(F)F)C,0.000180931,8.52E-15
VDRML21243,O(C(CCO)CO)c1ccc(OC(CC)(C)c2cc(C)c(OCC(O)c3ccccc3)cc2)cc1C,2.75E-05,5.02E-122
VDRML3054,FC(C(O)C(F)C)(C=CC=C(CC)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C,2.49E-05,1.04E-06
VDRML1370,FC(F)(F)C(O)(C=CC=C(CCO)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C(F)F,2.25E-05,2.08E-24
VDRML17839,FC(F)(F)c1ccc(cc1OCc1cc(CO)c(cc1)CO)C(CCC)=CC=CC(O)C(F)(F)F,0.001248081,2.04E-05
VDRML5797,FC(OCc1cc(CO)c(cc1)CO)(O)C=CC=C(CC)c1cc(OC)ccc1,1.84E-05,5.50E-80
VDRML2611,Oc1cc2C=3C(CC=3)C(CCc2cc1)C1(CCC1C(CCCCCCCCC(O)(C)C)C)C,0.0905004,0.000369786
VDRML11099,FC(O)(Cc1ccc(cc1CO)COc1cc(ccc1)C(CC)=CCC)CCO,1.51E-05,1.53E-89
VDRML6590,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)O)cc1,0.00203783,0.000499159
VDRML12454,FC(F)(F)c1ccc(cc1OCc1cc(CO)c(cc1)CO)C(CC)=CCCC(O)C(F)(F)F,1.23E-05,7.46E-82
VDRML6182,O1CCN(NCOc2ccc(cc2C)C(CC)(CC)c2cc(C)c(OCC(O)C(C)(C)C)cc2)C1,1.12E-05,0.074081822
VDRML9282,FC(F)(F)C(O)(C=CC=C(CC)c1cc(OCc2cc(CO)c(O)cc2)c(cc1)C)C(F)(F)F,0.027266647,0.003743625
VDRML17840,FC(F)(F)c1ccc(cc1OCc1cc(CO)c(cc1)CO)C(CCC)C=CC(O)C(F)(F)F,9.14E-06,5.11E-13
VDRML2684,FC(O)(C(O)(C)C)COc1cc(ccc1)CCC(CC)c1cc(C)c(OC(CCO)CO)cc1,8.27E-06,0.030119421
VDRML1573,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)C=1CN(NO)C=1C(=O)Nc1ccc(OCC)cc1,7.49E-06,2.77E-47
VDRML2681,FC(O)(C(C)(C)C)COc1ccc(cc1)C(CC)(CC)c1cc(C)c(OC(CCO)CO)cc1,6.77E-06,0.000609675
VDRML7447,FC(F)(F)C(O)(C=C=C(CC)c1cc(ccc1)CCc1cc(O)c(OCCO)cc1)C(F)(F)F,6.13E-06,3.10E-13
VDRML18247,FC(F)(F)c1ccc(cc1CCc1cc(C)c(OCO)cc1)C(CC(C(O)C(F)(F)F)=C)CC,5.55E-06,7.40E-79
VDRML10254,FC(OC(C(C)C)CCc1ccc(cc1CO)CC=C(CC)c1cc(ccc1)CC)(CO)C,5.02E-06,3.20E-26
VDRML2458,O(Cc1cc(O)c(cc1)CO)c1cc(-c2ccc(cc2C)C(OCC)(C(O)C)CC)c(cc1)CC,4.54E-06,3.73E-07
VDRML6173,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)C=1N(CC)C=1C(=CC)C(=O)Nc1ccc(OCC)cc1,4.11E-06,4.83E-146
VDRML2111,O(C(CCO)C)c1ncc(cc1C)C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)cc1,3.72E-06,1.92E-16
VDRML9046,FC(F)(F)C(O)(C(O)CC=C(Cc1cc(ccc1)CCc1cc(C)c(OCO)cc1)CC)C(F)(F)F,2.82E-05,0.01654223
