id,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ
VDRML10436,O(Cc1ccccc1)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OC(CCO)CO)cc1,-125.904,-17.8102,-16.937466,-14.419932,-35.536564,-33.724304,-113.82719,-119.90205,-7.806695,-6.7082191
VDRML3285,FC(F)(F)C(O)(C=CC=C(CC)c1cc(ccc1)CNc1cc(CO)c(OC)cc1)C(F)(F)F,-127.02,-16.3726,-16.927639,-14.640705,-31.084734,-30.532642,-109.0295,-119.17034,-10.194674,-10.326018
VDRML1540,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)C(O)O)cc1,-122.489,-17.578,-16.897436,-15.956306,-35.192802,-34.685505,-132.21373,-152.94543,-11.660374,-10.325152
VDRML1550,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)C=2N(CO)C=2O)cc1,-130.269,-17.2059,-16.865726,-16.724377,-34.521851,-33.28548,-134.69411,-141.9944,-7.0562801,-7.936399
VDRML12442,FCc1cc(ccc1OCC(O)C(C)(C)C)C(CC)(CC)c1cc(C)c(OCC(O)CCCO)cc1,-142.368,-17.734,-16.864937,-14.720942,-36.679596,-34.978161,-112.55321,-124.5146,-8.1713324,-5.0103426
VDRML22350,FC(F)(F)C(O)(C=CC(=C(C)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C)C(F)(F)F,-131.694,-11.1127,-16.86228,-15.2162,-32.456635,-31.094727,-137.29968,-120.79771,-10.761589,-11.022161
VDRML12495,O(C(CCO)CO)c1ccc(cc1C)COc1cc(ccc1)-c1ccc(cc1C)C(CC)(C)C,-121.767,-15.978,-16.837725,-13.079225,-33.456936,-32.451694,-94.694252,-110.00876,-1.2278252,-0.50491482
VDRML18823,O(C(CCO)CO)c1ccc(cc1CO)COc1cc(-c2ccc(cc2)C(O)(CC)CC)c(cc1)CC,-130.917,-14.8039,-16.828215,-15.685259,-33.446228,-31.982042,-107.97218,-112.52747,-5.7180109,-7.1813307
VDRML23010,O(C(CCO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(C=CC=CC=CC)c(O)cc1,-113.82,-18.5392,-16.791651,-13.892624,-33.015778,-32.360657,-89.643341,-103.63293,-6.3930936,-4.4168625
VDRML15730,O(CC(O)C(C)(C)C)c1ccc(cc1)C(C(C)C)(CC)c1n(C)c(C(=O)NC(C(CC)C)C(O)=O)c(c1)C,-127.372,-14.8794,-16.788742,-13.733979,-37.115814,-36.1199,-109.00984,-122.56304,-5.0451994,-3.8150332
VDRML10016,O(c1ccc(cc1C)C(CC)(C)c1cc(C)c(OC(CCO)CO)cc1)c1ccc(cc1C)C(C)(C)C,-113.475,-14.4516,-16.782536,-13.873421,-37.017345,-34.637833,-97.448227,-103.60188,-3.1963809,-0.34892514
VDRML18319,O(C(O)C(CC(O)COc1ccc(cc1C)C(CC)(C)C)CCO)c1ccc(cc1C)C(O)C,-118.686,-18.3461,-16.782455,-13.165659,-35.338318,-34.894978,-99.83326,-106.60709,-5.7409163,-4.4381204
VDRML23006,O(C(CCO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(-c2ccc(cc2C)C(C)C)c(O)cc1,-109.772,-15.0463,-16.755495,-14.914682,-34.610291,-33.182156,-93.900536,-103.42491,-2.0519471,-2.4087751
VDRML1548,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(ON2C(O)=C2O)=O)cc1,-135.955,-18.4699,-16.745081,-16.636154,-33.316219,-32.04895,-124.26431,-133.42723,-4.8301468,-5.9131279
VDRML1180,O(C(CCO)CO)c1ccc(cc1C)C(CC)(C)c1cc(C)c(OCC(Oc2ccccc2C)CO)cc1,-127.537,-18.4729,-16.74144,-14.518506,-35.33025,-33.501923,-90.807732,-115.35321,-1.9682801,4.4085045
VDRML18842,O(C(CCO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC=CC=CC)cc1,-127.736,-18.5379,-16.730867,-14.064031,-33.684299,-32.969494,-98.907883,-114.4619,-8.7104874,-6.0035939
VDRML875,FC(F)(F)C(O)(C=CC=C(COC)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C(F)(F)F,-132.727,-18.34,-16.724487,-15.226974,-31.543352,-29.501644,-114.36451,-115.36118,-9.0209513,-6.3864145
VDRML6155,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CCON)(CC)C=1N(CC)C=1C(=O)Nc1ccc(OCC)cc1,-139.766,-17.2009,-16.721079,-13.679204,-34.534389,-32.583889,-91.304153,-105.52037,0.7373566,0.78082365
VDRML11801,FC(F)(F)C(C(O)COc1cc(ccc1)C(CC)(C)c1cc(C)c(OC(CCO)CO)cc1)(C)C,-122.157,-18.5252,-16.711908,-16.156151,-36.153942,-33.736164,-110.54436,-131.71954,-9.4136229,-7.3115196
VDRML15868,O(C(=O)CNC(=O)c1ccc(cc1)C(N)(CO)c1n(CC)c(O)c(c1)C)C1(O)NC1,-109.38,-12.4794,-16.698856,-15.074063,-27.444824,-27.194115,-115.50915,-134.90572,-5.8701138,-6.2782927
VDRML7314,ClC[Si](CC)(c1cc(C)c(OCC(=O)CC(C)C)cc1)c1ccc(OCCOC)cc1,-122.453,-17.7983,-16.657881,-14.566764,-32.623001,-31.882227,-109.18549,-115.3975,-7.6593084,-5.5767393
VDRML1547,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1ccc(NC(=O)N2C(O)=C2O)cc1,-125.236,-18.5962,-16.655416,-18.117132,-35.119652,-33.941647,-148.83087,-158.19099,-7.7367201,-10.075609
VDRML6593,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(cc1)CCCC(O)=O,-131.117,-16.8085,-16.650198,-14.701096,-37.276291,-35.302589,-120.94397,-126.20071,-8.9920216,-9.2796412
VDRML15673,FC(CCC(O)C)(C=CC=C(CC)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C,-130.878,-17.135,-16.638,-14.939383,-33.508415,-32.575802,-128.1467,-107.0343,-11.371642,-6.5291305
VDRML874,FC(F)(F)C(O)(C=CC=C(COC)c1cc(ccc1)CCc1cc(CO)c(OCO)cc1)C(F)(F)F,-137.038,-17.6649,-16.626551,-16.409895,-30.570152,-29.640415,-113.76293,-111.01786,-7.1566186,-6.4708924
VDRML12443,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(O)CCCO)cc1,-139.393,-18.5023,-16.605047,-15.833379,-36.741856,-34.672565,-124.03301,-134.60599,-6.3298306,-6.582305
VDRML4176,FC(F)(F)C(C(O)=C1C=C(CC1)c1cc(OCc2cc(CO)c(cc2)CO)ccc1)C(F)(F)F,-122.283,-16.1289,-16.581152,-16.940826,-31.078636,-29.294861,-117.82981,-125.14874,-12.601098,-9.8380775
VDRML10013,O(c1ccc(cc1C)C(O)(C)c1cc(C)c(OC(CCO)CO)cc1)c1ccc(cc1C)C(CC)(C)C,-113.101,-14.4823,-16.571434,-14.465381,-34.766598,-34.617458,-104.05354,-110.39362,-3.8799365,-5.0188756
VDRML5778,O(CC(O)C(C)(C)C)c1cc(ccc1)C(CC)(CC)c1cc(C)c(cc1)COCCC(O)CO,-130.424,-17.9001,-16.555988,-16.473427,-35.805355,-35.020046,-121.052,-135.35408,-8.8750019,-7.9921689
VDRML20169,FC(F)(F)c1ccc(cc1CCc1cc(C)c(OCCO)cc1)C(CC(O)C(F)(F)F)CC,-122.545,-17.1669,-16.546703,-16.622383,-32.2127,-29.132845,-99.424164,-134.00522,-10.903853,-10.829994
VDRML6596,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(C)c(cc1)C(NC(O)=O)C,-121.87,-17.0407,-16.53364,-17.105783,-37.388947,-36.172844,-127.67521,-133.05841,-10.827749,-10.166456
VDRML22932,FC(F)(F)c1cc(cc(c1)C(CC)=CCCC(O)C(F)(F)F)-c1cc(C)c(OCO)cc1,-107.198,-19.2404,-16.514418,-14.621018,-29.382847,-29.102003,-118.53411,-125.3778,-7.6383066,-8.2372932
VDRML11800,FC(F)(F)C(C(O)COc1cc(ccc1)C(C)(C)c1cc(C)c(OC(CCO)CO)cc1)(C)C,-120.276,-18.4936,-16.503237,-16.694828,-35.254017,-33.667885,-110.99706,-126.94073,-10.036572,-9.4391642
VDRML5897,O(C(C)c1cc(C)c(OCC(C(O)CCO)C)cc1)c1ccc(cc1C)C(O)(CC)C,-113.977,-18.498,-16.482901,-14.088391,-35.892986,-34.145546,-112.81007,-122.28143,-7.639596,-6.6659193
VDRML961,O1Cc2c(cc(cc2)COc2cc(C)c(cc2)Cc2ccc(cc2CCC)C(CC)(CC)C)C1O,-121.19,-16.5118,-16.478628,-15.118,-35.586884,-33.256104,-98.647942,-101.87988,-6.1887465,-7.45716
VDRML18827,O(C(CCO)CO)c1ccc(cc1C)C(O)c1cc(-c2ccc(cc2)C(O)(CC)C)c(cc1)C,-123.463,-16.1034,-16.452303,-15.92376,-32.929325,-32.660309,-107.17577,-118.97749,-6.4973202,-6.6770172
VDRML2170,Oc1cc2c(cc1)C(CC2)C1C2C(C1)CCC(C)(C)C(CC2)C(CCCC(O)(C)C)C,-110.352,-19.6157,-16.43717,-14.701246,-37.171722,-37.648521,-108.45004,-113.11243,-9.5693417,-11.678161
VDRML1585,FC(F)(F)C(O)(C(O)=CCC(CC)c1cc(ccc1)CCc1cc(CO)c(OO)cc1)C(F)(F)F,-134.097,-13.9268,-16.436159,-15.11363,-31.708714,-30.781891,-124.41041,-127.41151,-9.9813423,-9.5697355
VDRML2174,Oc1cc2c(cc1)C(CC2)C1C2CCC(C)(C)C(C(CCCC(O)(C)C)C)C2(C1)C,-112.731,-19.5849,-16.430779,-14.679602,-36.188126,-34.194656,-111.58696,-113.63272,-10.774456,-9.2926683
VDRML4623,FC(C(O)COc1cc(ccc1)C(CC)(C=C)c1cc(C)c(OC(CCO)CO)cc1)(C)C,-121.204,-18.5548,-16.42918,-15.403454,-35.095932,-33.373077,-102.90215,-123.51141,-4.6188164,-6.1209431
VDRML8218,FC(O)(C(C)(C)C)COc1ccc(cc1)C(CC)(CC)c1cc(C)c(OC(C(O)C)CO)cc1,-132.093,-18.5391,-16.426991,-14.569283,-36.778706,-33.969715,-110.63873,-134.04974,-7.0145431,-8.3118076
VDRML4271,FC(F)(F)C(OO)(C=CC(N)=C(CC)c1cc(OCc2cc3CC(=O)c3cc2)ccc1)C(F)(F)F,-113.284,-11.5866,-16.41618,-13.581822,-31.006363,-29.456741,-115.11913,-132.93307,-11.674281,-10.80942
VDRML9629,O(C(CO)CO)c1ccc(cc1C)C(CC)(CC)c1cc(CO)c(OCCC(C)(C)C)cc1,-123.995,-17.8416,-16.416094,-15.039764,-36.94455,-36.193096,-102.11237,-123.12589,-9.8006144,-7.042172
VDRML9214,FC(O)(O)C=CC=C(CC)c1cc(OCCOCc2cc(CO)c(O)cc2)ccc1,-120.447,-18.5874,-16.416012,-15.821417,-30.336618,-29.335524,-110.44075,-128.43256,-8.4044075,-10.73999
VDRML9343,OC(CC)(CC)c1cc(C)c(cc1)-c1cc(ccc1)CCc1cc(CO)c(cc1)CO,-126.604,-14.5948,-16.40909,-13.442411,-31.974985,-31.168369,-120.52699,-117.20777,-7.3217187,-9.3362026
VDRML7709,OC1CC(O)c2c(C1)cc1C3CCC(C(CCCC(O)(C)C)C)C3(CCCc1c2)C,-115.411,-19.9009,-16.40402,-14.579963,-37.930634,-36.935974,-130.79979,-130.81621,-11.857013,-10.707329
VDRML1842,O(CC(O)C(C)(C)C)c1ccc(cc1C)C(CC)(CC)c1cc(n(c1)CC)C(=O)Nc1ccc(OC)cc1,-127.13,-16.9193,-16.385561,-14.478179,-34.470715,-34.540554,-108.24375,-128.92256,-0.59500372,-2.2230151
VDRML18212,O(Cc1cc(C)c(OC(COC)CO)cc1)c1ccc(cc1C)C(C(C(O)C(C)(C)C)C)CC,-118.063,-18.344,-16.38555,-13.616092,-35.461559,-34.106979,-114.58472,-109.0078,-6.0214615,-1.6062092
VDRML6387,FC(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCC(F)C)cc1)(CO)C,-126.383,-18.5596,-16.385345,-14.690875,-34.991013,-33.431713,-115.1876,-125.04282,-9.4882021,-8.1586971
VDRML7313,ClC[Si](CC)(c1cc(C)c(OCC(=O)CC(C)C)cc1)c1ccc(OCC2OC2)cc1,-120.711,-16.4188,-16.381491,-14.330963,-32.392429,-33.181812,-96.943542,-120.42596,-7.6329536,-6.9617467
